Name,Amount
"ACUPUNCTURE BOARD OF EXAMINERS","129121.37"
"ARIZONA COMMERCE AUTHORITY","2.303953156E7"
"ARIZONA HEALTH CARE COST CONTAINMENT SYSTEM (AHCCCS)","8.78664469306E9"
"ARIZONA HISTORICAL SOCIETY","3522447.33"
"ARIZONA STATE RETIREMENT SYSTEM (ASRS)","9.351136409E7"
"ARIZONA STATE UNIVERSITY","8.10034304E8"
"ATTORNEY GENERAL (DEPT OF LAW)","9.666283618E7"
"AUDITOR GENERAL","1.795526015E7"
"AUTOMOBILE THEFT AUTHORITY","4217114.46"
"BOARD FOR CHARTER SCHOOLS","771887.09"
"BOARD FOR PRIVATE POSTSECONDARY EDUCATION","407570.03"
"BOARD OF ACCOUNTANCY","1570831.99"
"BOARD OF APPRAISAL","751178.69"
"BOARD OF ATHLETIC TRAINING","104056.37"
"BOARD OF BARBERS","292401.49"
"BOARD OF BEHAVIORAL HEALTH EXAMINERS","1484308.71"
"BOARD OF CHIROPRACTIC EXAMINERS","448280.21"
"BOARD OF COSMETOLOGY","1834085.75"
"BOARD OF DENTAL EXAMINERS","1028257.22"
"BOARD OF DISPENSING OPTICIANS","130036.48"
"BOARD OF EQUALIZATION","516789.13"
"BOARD OF EXAMINERS OF NURSING CARE AND ASSISTED LIVING","337632.23"
"BOARD OF EXECUTIVE CLEMENCY","824105.04"
"BOARD OF FINGERPRINTING","500295.95"
"BOARD OF FUNERAL DIRECTORS AND EMBALMERS","327657.76"
"BOARD OF HOMEOPATHIC AND INTEGRATED MEDICINE EXAMINERS","86500.68"
"BOARD OF MEDICAL STUDENT LOANS","73977.8"
"BOARD OF NURSING","4761342.95"
"BOARD OF OCCUPATIONAL EXAMINERS","165156.19"
"BOARD OF OPTOMETRY","202030.02"
"BOARD OF OSTEOPATHIC EXAMINERS MEDICINE AND SURGERY","702796.56"
"BOARD OF PHARMACY","3651258.87"
"BOARD OF PHYSICAL THERAPY","337286.18"
"BOARD OF PODIATRY EXAMINERS","124296.92"
"BOARD OF PSYCHOLOGIST EXAMINERS","343236.07"
"BOARD OF REGENTS","1.2948268918E8"
"BOARD OF RESPIRATORY CARE EXAMINERS","288819.77"
"BOARD OF TAX APPEALS","257178.02"
"BOARD OF TECHNICAL REGISTRATION","1778355.87"
"CAPITAL POSTCONVICTION PUBLIC DEFENDER OFFICE","4411.63"
"CITIZENS CLEAN ELECTION COMMISSION","7342225.43"
"COMMISSION FOR POSTSECONDARY EDUCATION","5337037.17"
"COMMISSION FOR THE DEAF AND THE HARD OF HEARING","3485562.98"
"COMMISSION OF INDIAN AFFAIRS","63219.99"
"COMMISSION ON THE ARTS","2558898.47"
"CONSTABLE ETHICS STANDARDS AND TRAINING BOARD","184876.3"
"CORPORATION COMMISSION","2.985705642E7"
"COTTON RESEARCH AND PROTECTION COUNCIL","3832215.94"
"COURT OF APPEALS","9701376.5"
"COURT OF APPEALS DIV II","4275354.12"
"CRIMINAL JUSTICE COMMISSION","2.255054704E7"
"DEPT OF ADMINISTRATION","1.11524551624E9"
"DEPT OF AGRICULTURE","2.024787738E7"
"DEPT OF CORRECTIONS","1.05714910363E9"
"DEPT OF ECONOMIC SECURITY","3.47907648315E9"
"DEPT OF EDUCATION","5.17920364849E9"
"DEPT OF EMERGENCY AND MILITARY AFFAIRS","8.234648481E7"
"DEPT OF ENVIRONMENTAL QUALITY","1.0512755986E8"
"DEPT OF FINANCIAL INSTITUTIONS","5605891.42"
"DEPT OF FIRE, BUILDING AND LIFE SAFETY","2533647.85"
"DEPT OF GAMING","1.177418476E7"
"DEPT OF HEALTH SERVICES","2.30436427925E9"
"DEPT OF HOMELAND SECURITY","4.671632173E7"
"DEPT OF HOUSING","9.549216786E7"
"DEPT OF INSURANCE","1.125542616E7"
"DEPT OF JUVENILE CORRECTIONS","4.638248255E7"
"DEPT OF LIQUOR LICENSES AND CONTROL","6939285.08"
"DEPT OF PUBLIC SAFETY","4.7043962768E8"
"DEPT OF RACING","4758272.91"
"DEPT OF REVENUE","9.876692589E7"
"DEPT OF TRANSPORTATION","2.78007426556E9"
"DEPT OF VETERANS SERVICES","3.440452787E7"
"DEPT OF WATER RESOURCES","1.885284823E7"
"EARLY CHILDHOOD DEVELOPMENT AND HEALTH BOARD","1.5738742256E8"
"EXPOSITION AND STATE FAIR BOARD","1.0959865E7"
"GAME AND FISH DEPARTMENT","8.905907547E7"
"GEOLOGICAL SURVEY","1.025937703E7"
"GOVERNMENT INFORMATION TECHNOLOGY AGENCY","-38108.52"
"GOVERNOR'S OFFICE","7.074429347E7"
"GOVERNOR'S OFFICE OF HIGHWAY SAFETY","9159888.88"
"HOUSE OF REPRESENTATIVES","1.185049061E7"
"INDEPENDENT REDISTRICTING COMMISSION","2588666.0"
"INDUSTRIAL COMMISSION","2.998480342E7"
"JOINT LEGISATIVE BUDGET COMMITTEE","1879144.21"
"LAND DEPARTMENT","1.471262719E7"
"LAW ENFORCEMENT MERIT SYSTEM","69527.68"
"LEGISLATIVE COUNCIL","6717485.32"
"LOTTERY COMMISSION","5.6846721854E8"
"MEDICAL BOARD","5276881.11"
"MINE INSPECTOR","1643331.32"
"NATUROPATHIC PHYSICIANS MEDICAL BOARD","580890.48"
"NAVIGABLE STREAM ADJUDICATION COMMISSION","191711.17"
"NORTHERN ARIZONA UNIVERSITY","2.13372326E8"
"OCCUPATIONAL SAFETY AND HEALTH ADVISORY COMMITTEE","1010.75"
"OFFICE OF ADMINISTRATIVE HEARINGS","1893853.33"
"OFFICE OF EQUAL OPPORTUNITY","194433.91"
"OFFICE OF PEST MANAGEMENT","1465426.78"
"OFFICE OF THE STATE FORESTER","4.105334942E7"
"OFFICE OF TOURISM","2.020916673E7"
"PARENTS COMMISSION ON DRUG EDUCATION AND PREVENTION","3868025.46"
"PARKS BOARD","4.463071652E7"
"PERSONNEL BOARD","316498.53"
"PIONEERS' HOME","5761363.41"
"PRESCOTT HISTORICAL SOCIETY","694988.0"
"RADIATION REGULATORY AGENCY","3255630.97"
"REAL ESTATE DEPARTMENT","2755547.71"
"REGISTRAR OF CONTRACTORS","1.162293457E7"
"RESIDENTIAL UTILITY CONSUMER OFFICE","1170621.89"
"RETIREE ACCUMULATED SICK LEAVE","1.365568887E7"
"SCHOOL FACILITIES BOARD","4.5138023312E8"
"SCHOOLS FOR THE DEAF AND THE BLIND","5.437717091E7"
"SECRETARY OF STATE (DEPT OF STATE)","2.447143686E7"
"SENATE","8029898.22"
"STATE TREASURER","5.521802547E7"
"STATEWIDE SYSTEMS PROCESSING","4.0963910131E8"
"SUPREME COURT","1.8721777405E8"
"UNIVERSITY OF ARIZONA","5.80169455E8"
"VETERINARY MEDICAL EXAMINING BOARD","419420.49"
"WATER INFRASTRUCTURE FINANCE AUTHORITY","1.5234539997E8"
"WATER PROTECTION FUND COMMISSION","3.4194497464E8"
"WEIGHTS AND MEASURES","3213947.05"
